MES;DIA;HORA;PROVINCIA;CANTÓN;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
JULIO;MIÉRCOLES;21:00 A 21:59;GUAYAS;PLAYAS;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;22:00 A 22:59;PICHINCHA;MEJIA;URBANA;0;0;0;CHOQUES;EMBRIAGUEZ O DROGA
JULIO;MIÉRCOLES;22:00 A 22:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;ATROPELLOS;EXCESO VELOCIDAD
JULIO;JUEVES;00:00 A 00:59;GUAYAS;GUAYAQUIL;URBANA;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;JUEVES;02:00 A 02:59;GUAYAS;GUAYAQUIL;URBANA;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;JUEVES;02:00 A 02:59;COTOPAXI;SALCEDO;RURAL;1;0;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;02:00 A 02:59;PICHINCHA;QUITO;URBANA;0;1;1;ESTRELLAMIENTOS;DAÑOS MECÁNICOS
JULIO;JUEVES;04:00 A 04:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;05:00 A 05:59;GUAYAS;GUAYAQUIL;URBANA;0;3;3;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;05:00 A 05:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;06:00 A 06:59;LOS RÍOS;BUENA FE;RURAL;0;2;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;06:00 A 06:59;GUAYAS;SAN JACINTO DE YAGUACHI;RURAL;0;0;0;VOLCAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;07:00 A 07:59;GUAYAS;EL TRIUNFO;RURAL;0;1;1;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;07:00 A 07:59;GUAYAS;GUAYAQUIL;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;08:00 A 08:59;GUAYAS;DAULE;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;09:00 A 09:59;GUAYAS;GUAYAQUIL;URBANA;2;0;2;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;09:00 A 09:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;ATROPELLOS;EXCESO VELOCIDAD
JULIO;JUEVES;10:00 A 10:59;LOS RÍOS;VENTANAS;RURAL;0;1;1;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
JULIO;JUEVES;10:00 A 10:59;GUAYAS;GUAYAQUIL;URBANA;0;2;2;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;JUEVES;10:00 A 10:59;MANABÍ;MANTA;URBANA;0;0;0;CHOQUES;IMPRUDENCIA  DEL PEATÓN
JULIO;JUEVES;10:00 A 10:59;IMBABURA;IBARRA;URBANA;0;1;1;ATROPELLOS;EXCESO VELOCIDAD
JULIO;JUEVES;10:00 A 10:59;PICHINCHA;QUITO;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;11:00 A 11:59;PICHINCHA;QUITO;URBANA;0;0;0;OTROS;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;12:00 A 12:59;GUAYAS;BALZAR;RURAL;0;1;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
JULIO;JUEVES;12:00 A 12:59;LOS RÍOS;BABAHOYO;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;12:00 A 12:59;AZUAY;CUENCA;URBANA;0;0;0;ESTRELLAMIENTOS;EMBRIAGUEZ O DROGA
JULIO;JUEVES;12:00 A 12:59;MANABÍ;MANTA;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;13:00 A 13:59;MANABÍ;PORTOVIEJO;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;13:00 A 13:59;PICHINCHA;QUITO;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;13:00 A 13:59;MANABÍ;PORTOVIEJO;URBANA;0;1;1;ATROPELLOS;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;14:00 A 14:59;GUAYAS;SAN JACINTO DE YAGUACHI;RURAL;0;0;0;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;14:00 A 14:59;PICHINCHA;QUITO;URBANA;0;0;0;OTROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;14:00 A 14:59;GUAYAS;GUAYAQUIL;URBANA;0;0;0;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;15:00 A 15:59;GUAYAS;SAMBORONDON;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;15:00 A 15:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;15:00 A 15:59;GUAYAS;PLAYAS;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;16:00 A 16:59;GUAYAS;SAMBORONDON;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;16:00 A 16:59;CHIMBORAZO;RIOBAMBA;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;16:00 A 16:59;LOJA;LOJA;URBANA;0;2;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;16:00 A 16:59;AZUAY;CUENCA;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
